,id,score,label
0,0,0.5260452,0
1,1,0.055510137,0
2,2,0.11314864,0
3,3,0.09093629,0
4,4,0.124861516,0
5,5,0.10098569,0
6,6,0.05648541,0
7,7,0.10964373,0
8,8,0.07658227,0
9,9,0.10712561,0
10,10,0.026833378,0
11,11,0.16394031,0
12,12,0.1661245,0
13,13,0.09610333,0
14,14,0.11235881,0
15,15,0.22090438,0
16,16,0.065840326,0
17,17,0.21978496,0
18,18,0.12455723,0
19,19,0.054039743,0
20,20,0.0751451,0
21,21,0.12822977,0
22,22,0.100849785,0
23,23,0.068237506,0
24,24,0.07942877,0
25,25,0.121104404,0
26,26,0.10101143,0
27,27,0.066521496,1
28,28,0.07978214,0
29,29,0.11948658,0
30,30,0.09408453,0
31,31,0.10298638,0
32,32,0.14739566,0
33,33,0.17147937,0
34,34,0.11676162,0
35,35,0.15323369,0
36,36,0.15308326,0
37,37,0.06206705,0
38,38,0.1944136,0
39,39,0.118791044,0
40,40,0.06801434,0
41,41,0.0868267,0
42,42,0.12503558,0
43,43,0.22725773,0
44,44,0.116573624,0
45,45,0.14669459,1
46,46,0.20663492,0
47,47,0.0657845,0
48,48,0.098203704,0
49,49,0.07475026,0
50,50,0.09677492,0
51,51,0.08557437,0
52,52,0.15199783,0
53,53,0.071087144,0
54,54,0.18321785,0
55,55,0.120304845,0
56,56,0.08309144,0
57,57,0.16012557,0
58,58,0.073834255,0
59,59,0.05257219,0
60,60,0.07921189,0
61,61,0.11916582,0
62,62,0.023999602,0
63,63,0.26123443,1
64,64,0.065323204,0
65,65,0.11082256,0
66,66,0.07790913,0
67,67,0.13587017,0
68,68,0.18118528,0
69,69,0.11075266,0
70,70,0.15372357,0
71,71,0.25025946,0
72,72,0.08766906,0
73,73,0.100655064,0
74,74,0.09460435,0
75,75,0.111697696,0
76,76,0.124742076,0
77,77,0.28523526,0
78,78,0.21254285,0
79,79,0.11830879,0
80,80,0.10932896,0
81,81,0.3997944,1
82,82,0.05297496,0
83,83,0.12451816,0
84,84,0.10771698,0
85,85,0.098682664,0
86,86,0.07179226,0
87,87,0.09360932,0
88,88,0.109411284,0
89,89,0.016617239,0
90,90,0.39389187,0
91,91,0.05680751,0
92,92,0.0967842,0
93,93,0.10931639,0
94,94,0.10330159,0
95,95,0.10548474,0
96,96,0.1453818,0
97,97,0.097739264,0
98,98,0.14229342,0
99,99,0.0864341,0
100,100,0.05555399,0
101,101,0.12109632,0
102,102,0.027688315,0
103,103,0.06769374,0
104,104,0.09494606,0
105,105,0.069415286,0
106,106,0.064895734,0
107,107,0.064247645,0
108,108,0.10172553,0
109,109,0.10459523,0
110,110,0.11993006,0
111,111,0.042258464,0
112,112,0.17599984,0
113,113,0.19577219,0
114,114,0.12567051,0
115,115,0.18168923,1
116,116,0.17424789,0
117,117,0.048706412,0
118,118,0.18110041,0
119,119,0.2504166,1
120,120,0.09493737,0
121,121,0.12848018,0
122,122,0.07262579,0
123,123,0.5283451,1
124,124,0.17168787,0
125,125,0.12184873,0
126,126,0.09193716,0
127,127,0.1270951,0
128,128,0.024844361,0
129,129,0.02603322,0
130,130,0.1750461,0
131,131,0.1141082,0
132,132,0.0827641,0
133,133,0.08222976,0
134,134,0.094632484,0
135,135,0.06273504,0
136,136,0.12848422,0
137,137,0.05104387,0
138,138,0.13657813,0
139,139,0.6671146,1
140,140,0.10699016,0
141,141,0.10067991,0
142,142,0.07408571,0
143,143,0.09407271,0
144,144,0.29654878,0
145,145,0.07557885,0
146,146,0.12595654,0
147,147,0.12183301,0
148,148,0.12676312,0
149,149,0.08101337,0
150,150,0.11044688,1
151,151,0.0670015,0
152,152,0.29426852,0
153,153,0.08366424,0
154,154,0.09615527,0
155,155,0.06891463,0
156,156,0.10816899,1
157,157,0.113124244,0
158,158,0.12310943,0
159,159,0.08251833,0
160,160,0.079978965,0
161,161,0.08291976,0
162,162,0.07272398,0
163,163,0.12876621,0
164,164,0.110406615,0
165,165,0.12879315,0
166,166,0.0793894,0
167,167,0.13308609,0
168,168,0.15161781,0
169,169,0.12159668,0
170,170,0.053836934,0
171,171,0.11484594,1
172,172,0.071120076,0
173,173,0.050122928,0
174,174,0.097858705,0
175,175,0.12027506,0
176,176,0.08086144,0
177,177,0.18912382,0
178,178,0.08621288,0
179,179,0.09836041,0
180,180,0.0910686,0
181,181,0.12657513,0
