,id,score,label
0,0,0.6918686,0
1,1,0.60308594,0
2,2,0.47250283,0
3,3,0.39575666,0
4,4,0.5523005,0
5,5,0.4654411,0
6,6,0.3843496,0
7,7,0.4396842,0
8,8,0.4063229,0
9,9,0.41430113,0
10,10,0.35168236,0
11,11,0.46214935,0
12,12,0.42087826,0
13,13,0.4274796,0
14,14,0.36267495,0
15,15,0.42049795,0
16,16,0.46399188,0
17,17,0.5015173,0
18,18,0.46627268,0
19,19,0.4458537,0
20,20,0.4680391,0
21,21,0.41254112,0
22,22,0.3455448,0
23,23,0.35345274,0
24,24,0.33302256,0
25,25,0.3579668,0
26,26,0.38040367,0
27,27,0.3836579,1
28,28,0.40830898,0
29,29,0.32334363,0
30,30,0.3255215,0
31,31,0.33979186,0
32,32,0.30261117,0
33,33,0.37507313,0
34,34,0.36568943,0
35,35,0.3074762,0
36,36,0.3779204,0
37,37,0.33702394,0
38,38,0.3791334,0
39,39,0.34037122,0
40,40,0.5722791,0
41,41,0.39337018,0
42,42,0.4021171,0
43,43,0.34059104,0
44,44,0.38702667,0
45,45,0.285511,1
46,46,0.34366414,0
47,47,0.2407828,0
48,48,0.35349697,0
49,49,0.5572102,0
50,50,0.33367768,0
51,51,0.3228838,0
52,52,0.35490683,0
53,53,0.3558163,0
54,54,0.38039592,0
55,55,0.30883238,0
56,56,0.31149346,0
57,57,0.29822466,0
58,58,0.40881526,0
59,59,0.2913815,0
60,60,0.23663889,0
61,61,0.25648624,0
62,62,0.34896538,0
63,63,0.40440068,1
64,64,0.28231287,0
65,65,0.25242087,0
66,66,0.34053245,0
67,67,0.249775,0
68,68,0.3318584,0
69,69,0.37783873,0
70,70,0.24387519,0
71,71,0.29553974,0
72,72,0.33985302,0
73,73,0.2438296,0
74,74,0.296754,0
75,75,0.32203633,0
76,76,0.25346494,0
77,77,0.39747488,0
78,78,0.33891094,0
79,79,0.3220261,0
80,80,0.28788927,0
81,81,0.36907786,1
82,82,0.28389457,0
83,83,0.37197995,0
84,84,0.2808582,0
85,85,0.24675746,0
86,86,0.37516534,0
87,87,0.23357067,0
88,88,0.2143787,0
89,89,0.1876258,0
90,90,0.46074167,0
91,91,0.3668492,0
92,92,0.2220575,0
93,93,0.365907,0
94,94,0.20095363,0
95,95,0.24995616,0
96,96,0.3090791,0
97,97,0.25877583,0
98,98,0.25824478,0
99,99,0.31242254,0
100,100,0.31601653,0
101,101,0.34001794,0
102,102,0.2881275,0
103,103,0.23793958,0
104,104,0.28550223,0
