,id,score,label
0,0,0.4475385,0
1,1,0.42597997,0
2,2,0.42246804,0
3,3,0.38822135,0
4,4,0.3613304,0
5,5,0.35075924,0
6,6,0.38936684,0
7,7,0.33393097,0
8,8,0.36609933,0
9,9,0.37450036,0
10,10,0.3652877,0
11,11,0.3797814,0
12,12,0.33876583,0
13,13,0.3189145,0
14,14,0.31610435,0
15,15,0.32950786,0
16,16,0.3351376,0
17,17,0.30873093,0
18,18,0.3837125,0
19,19,0.29868168,0
20,20,0.33342898,0
21,21,0.311006,0
22,22,0.31915495,0
23,23,0.29045737,0
24,24,0.4966428,1
25,25,0.329438,0
26,26,0.33190474,0
27,27,0.35336316,0
28,28,0.32610938,0
29,29,0.32035524,0
30,30,0.33404285,0
31,31,0.325317,0
32,32,0.4154157,0
33,33,0.30427027,0
34,34,0.3219272,0
35,35,0.4089501,1
36,36,0.3171071,0
37,37,0.26045102,0
38,38,0.29036313,0
39,39,0.23382911,0
40,40,0.38553837,0
41,41,0.29688403,0
42,42,0.41236183,1
43,43,0.35527322,0
44,44,0.29010683,0
45,45,0.25290388,0
46,46,0.5034735,1
47,47,0.35754526,0
48,48,0.29505125,0
49,49,0.31735185,0
50,50,0.29101512,0
51,51,0.32784358,0
52,52,0.26518193,0
53,53,0.24851823,0
54,54,0.24165626,0
55,55,0.3339752,0
56,56,0.28299844,0
57,57,0.266039,0
58,58,0.24582769,0
59,59,0.29665858,0
60,60,0.27724195,0
61,61,0.33616373,0
62,62,0.3067696,0
63,63,0.27750158,0
64,64,0.28691632,0
65,65,0.32621086,0
66,66,0.28519034,0
67,67,0.31797317,0
68,68,0.30004972,1
69,69,0.30726674,0
70,70,0.22453229,0
71,71,0.25141907,0
72,72,0.27409837,0
73,73,0.31216148,0
74,74,0.31314164,0
75,75,0.33620214,0
76,76,0.29271793,0
77,77,0.21666765,0
78,78,0.28970742,0
79,79,0.26129037,0
80,80,0.2460398,0
81,81,0.3141919,0
82,82,0.2850685,0
83,83,0.2884537,0
84,84,0.41187564,0
85,85,0.30179086,0
86,86,0.23948914,0
87,87,0.2266776,0
88,88,0.22889937,0
89,89,0.23517258,0
90,90,0.30798754,0
91,91,0.40148595,0
92,92,0.31390977,0
93,93,0.25593668,0
94,94,0.26473364,0
95,95,0.26217967,0
96,96,0.32709223,0
97,97,0.27298778,0
98,98,0.29388517,0
99,99,0.23781125,0
100,100,0.2546007,0
101,101,0.24127984,0
102,102,0.5671795,1
103,103,0.2734109,0
104,104,0.25633582,0
105,105,0.22823094,0
106,106,0.24937448,0
107,107,0.31243682,0
108,108,0.30335322,0
109,109,0.27225965,0
110,110,0.24948522,0
111,111,0.27259377,0
